CODE;GROUP_CODE;NAME
5993;Retail Purchase;5993 Cigar Stores And Stands
5462;Retail Purchase;5462 Bakeries
5532;Retail Purchase;5532 Automotive Tire Stores
5333;Retail Purchase;5333 Hypermarket
4111;Retail Purchase;4111 Local/Suburban Commuter Pas
5996;Retail Purchase;5996 Swimming Pools
6532;Payment Services;6532 Payment Transaction - Membe
3511;Hotel/Motel (Lodging);3511 Arabella Hotels
3516;Hotel/Motel (Lodging);3516 La Quinta Motor Inns
3548;Hotel/Motel (Lodging);3548 Hoteles Melia
3553;Hotel/Motel (Lodging);3553 Park Inns International
3513;Hotel/Motel (Lodging);3513 Westin Hotels
3617;Hotel/Motel (Lodging);3617 AMERICA'S BEST VALUE INN
3807;Hotel/Motel (Lodging);3807 Element
3607;Hotel/Motel (Lodging);3607 FONTAINEBLEAU RESORTS
3626;Hotel/Motel (Lodging);3626 Studio Plus
3734;Hotel/Motel (Lodging);3734 Harvey Bristol Hotels
3735;Hotel/Motel (Lodging);3735 Masters Economy Inns
3739;Hotel/Motel (Lodging);3739 Woodside Hotels And Resorts
3740;Hotel/Motel (Lodging);3740 Marriot/Town Place Suites
3741;Hotel/Motel (Lodging);3741 Millennium Hotels
3749;Hotel/Motel (Lodging);3749 The Beverly Hills Hotel
3620;Hotel/Motel (Lodging);3620 Binion's Horseshoe Club
3765;Hotel/Motel (Lodging);3765 Bellagio
3773;Hotel/Motel (Lodging);3773 Venetion Resort Hotel Casin
3826;Hotel/Motel (Lodging);3826 AUTOGRAPH
3838;Hotel/Motel (Lodging);3838 KIMPTON HOTELS
3573;Hotel/Motel (Lodging);3573 Sandman Hotels
3583;Hotel/Motel (Lodging);3583 Radison BLU
3586;Hotel/Motel (Lodging);3586 Sokos Hotels
3588;Hotel/Motel (Lodging);3588 Helmsley Hotels
3591;Hotel/Motel (Lodging);3591 Sonesta Int'l Hotels
3622;Hotel/Motel (Lodging);3622 Merlin Hotel (Perth)
3639;Hotel/Motel (Lodging);3639 Mount Charlotte Thistle
3655;Hotel/Motel (Lodging);3655 Scandic Hotels
3663;Hotel/Motel (Lodging);3663 Hoteles El Presidente
3672;Hotel/Motel (Lodging);3672 Campanila Hotels
3678;Hotel/Motel (Lodging);3678 Cumulus Hotels
3687;Hotel/Motel (Lodging);3687 Clarion Hotels
3705;Hotel/Motel (Lodging);3705 Sandman Inn
5099;Mail/Telephone/Preauth order;5099 Durable Goods N-elsewhere
5192;Mail/Telephone/Preauth order;5192 Books/Periodicals/Newspaper
5960;Mail/Telephone/Preauth order;5960 Direct Marketing-Insurance 
5967;Mail/Telephone/Preauth order;5967 Direct Marketing-Inbound Te
5193;Mail/Telephone/Preauth order;5193 Florist/Nursery Stock/Flowe
2741;Mail/Telephone/Preauth order;2741 Misc-Publishing/Printing
6540;Mail/Telephone/Preauth order;6540 POI Transactions [Excluding MoneySend]
5817;Mail/Telephone/Preauth order;5817 Digital Goods - Software Applications (Excluding Games)
3043;Transportation;3043 Aer Lingus
3046;Transportation;3046 Cruzeiro Do Sul (Bra.)
3063;Transportation;3063 U.S. Airwys
3087;Transportation;3087 Metro Airlines
3096;Transportation;3096 Air Zimbabwe
3099;Transportation;3099 Cathay Pacific
3111;Transportation;3111 British Midland
3172;Transportation;3172 Nation Air   Nationai
3193;Transportation;3193 Indian Airlines
4722;Transportation;4722 Travel Agencies And Tour Op
3263;Transportation;3263 Aero Servicio Carabobo
3000;Transportation;3000 United Airlines
3020;Transportation;3020 Air-India
3136;Transportation;3136 Qatar Airways Company W.L.L
